Lab_action,Sample_ID,Library,Barcode,EO,EO_normalised,BL_inferred,n_raw_haps,Proteins_in_final_data,Exclusion_stage,Recommended_action
Re-DNA-extraction,Library010_barcode23,10,23,18,EO18,BL5,28,0.0,Step 9 — too_many_alleles,Re-isolate tissue from a single plant + re-extract DNA. >4 distinct functional proteins per individual indicates mixed/contaminated DNA stock; re-PCR will preserve the contamination. Verify single-plant origin of the source tissue before re-extracting.
Re-DNA-extraction,Library002_barcode41,2,41,24-14,EO24,BL5,52,0.0,Step 9 — too_many_alleles,Re-isolate tissue from a single plant + re-extract DNA. >4 distinct functional proteins per individual indicates mixed/contaminated DNA stock; re-PCR will preserve the contamination. Verify single-plant origin of the source tissue before re-extracting.
Re-DNA-extraction,Library006_barcode39,6,39,27,EO27,BL4,84,0.0,Step 9 — too_many_alleles,Re-isolate tissue from a single plant + re-extract DNA. >4 distinct functional proteins per individual indicates mixed/contaminated DNA stock; re-PCR will preserve the contamination. Verify single-plant origin of the source tissue before re-extracting.
Re-DNA-extraction,Library007_barcode74,7,74,27,EO27,BL4,36,0.0,Step 9 — too_many_alleles,Re-isolate tissue from a single plant + re-extract DNA. >4 distinct functional proteins per individual indicates mixed/contaminated DNA stock; re-PCR will preserve the contamination. Verify single-plant origin of the source tissue before re-extracting.
Re-DNA-extraction,Library007_barcode76,7,76,27,EO27,BL4,44,0.0,Step 9 — too_many_alleles,Re-isolate tissue from a single plant + re-extract DNA. >4 distinct functional proteins per individual indicates mixed/contaminated DNA stock; re-PCR will preserve the contamination. Verify single-plant origin of the source tissue before re-extracting.
Re-DNA-extraction,Library009_barcode79,9,79,27,EO27,BL4,36,0.0,Step 9 — too_many_alleles,Re-isolate tissue from a single plant + re-extract DNA. >4 distinct functional proteins per individual indicates mixed/contaminated DNA stock; re-PCR will preserve the contamination. Verify single-plant origin of the source tissue before re-extracting.
Re-DNA-extraction,Library001_barcode01,1,1,27rt,EO27rt,Unassigned,28,0.0,Step 9 — too_many_alleles,Re-isolate tissue from a single plant + re-extract DNA. >4 distinct functional proteins per individual indicates mixed/contaminated DNA stock; re-PCR will preserve the contamination. Verify single-plant origin of the source tissue before re-extracting.
Re-DNA-extraction,Library005_barcode04,5,4,76,EO76,BL3,28,0.0,Step 9 — too_many_alleles,Re-isolate tissue from a single plant + re-extract DNA. >4 distinct functional proteins per individual indicates mixed/contaminated DNA stock; re-PCR will preserve the contamination. Verify single-plant origin of the source tissue before re-extracting.
Re-DNA-extraction,Library005_barcode07,5,7,76,EO76,BL3,36,0.0,Step 9 — too_many_alleles,Re-isolate tissue from a single plant + re-extract DNA. >4 distinct functional proteins per individual indicates mixed/contaminated DNA stock; re-PCR will preserve the contamination. Verify single-plant origin of the source tissue before re-extracting.
Re-DNA-extraction,Library009_barcode07,9,7,76,EO76,BL3,36,0.0,Step 9 — too_many_alleles,Re-isolate tissue from a single plant + re-extract DNA. >4 distinct functional proteins per individual indicates mixed/contaminated DNA stock; re-PCR will preserve the contamination. Verify single-plant origin of the source tissue before re-extracting.
